    runtime_frac  cross_acc  true_acc         diff
0       0.000210   0.703860  0.695681  4816.084154
1       0.002012   0.749604  0.742376  4134.105567
2       0.003814   0.762018  0.727824  4090.148673
3       0.005616   0.772241  0.746359  4015.954825
4       0.007418   0.772113  0.739093  3949.997109
5       0.009220   0.768792  0.732887  3919.195081
6       0.011022   0.772306  0.736228  3878.848200
7       0.012824   0.771079  0.729424  3850.236770
8       0.014626   0.773062  0.746874  3802.525458
9       0.016428   0.783190  0.745978  3771.119078
10      0.018231   0.788550  0.757512  3732.780479
11      0.020033   0.791180  0.756584  3686.866385
12      0.021835   0.796929  0.753151  3660.228952
13      0.023637   0.799686  0.763257  3627.714203
14      0.025439   0.806252  0.765386  3597.755974
15      0.027241   0.810151  0.767735  3565.614128
16      0.029043   0.814858  0.780700  3536.799389
17      0.030845   0.817074  0.785867  3510.283050
18      0.032647   0.822574  0.788233  3481.506560
19      0.034449   0.823819  0.791730  3454.876718
20      0.036251   0.827391  0.798719  3428.870794
21      0.038053   0.831592  0.807608  3406.779847
22      0.039855   0.833352  0.809583  3374.346106
23      0.041658   0.835957  0.812467  3341.645153
24      0.043460   0.839907  0.816365  3320.241697
25      0.045262   0.843024  0.818783  3303.145792
26      0.047064   0.844519  0.818266  3284.362573
27      0.048866   0.845488  0.823564  3263.767780
28      0.050668   0.843074  0.825757  3243.324188
29      0.052470   0.843871  0.830493  3219.105323
30      0.054272   0.843326  0.835282  3203.651693
31      0.056074   0.845373  0.833225  3182.927150
32      0.057876   0.847493  0.839404  3154.882731
33      0.059678   0.847873  0.841944  3134.774310
34      0.061480   0.850526  0.832420  3118.087422
35      0.063283   0.850985  0.829365  3103.713325
36      0.065085   0.851573  0.829365  3086.672933
37      0.066887   0.853360  0.836939  3063.450090
38      0.068689   0.854493  0.834414  3043.884946
39      0.070491   0.857304  0.840320  3028.312100
40      0.072293   0.857752  0.838096  3010.880355
41      0.074095   0.858704  0.843367  2993.506150
42      0.075897   0.860930  0.845027  2977.852187
43      0.077699   0.861520  0.847191  2965.997969
44      0.079501   0.863546  0.849206  2954.322573
45      0.081303   0.864009  0.846561  2940.442968
46      0.083105   0.864500  0.841545  2920.964112
47      0.084907   0.865148  0.847156  2906.877187
48      0.086710   0.866540  0.849206  2892.555399
49      0.088512   0.866991  0.850529  2876.053731
50      0.090314   0.868843  0.853052  2865.050520
51      0.092116   0.871736  0.860307  2845.695902
52      0.093918   0.875008  0.855990  2831.361301
53      0.095720   0.876567  0.860716  2821.339079
54      0.097522   0.877860  0.860713  2809.770100
55      0.099324   0.879605  0.859788  2792.864356
56      0.101126   0.880168  0.862941  2781.034856
57      0.102928   0.881324  0.860863  2766.875798
58      0.104730   0.882175  0.862591  2755.293951
59      0.106532   0.885597  0.863757  2738.821744
60      0.108334   0.886288  0.865720  2728.140169
61      0.110137   0.888784  0.867696  2716.796010
62      0.111939   0.889819  0.869048  2702.830497
63      0.113741   0.892166  0.870370  2690.078658
64      0.115543   0.892240  0.871693  2680.819597
65      0.117345   0.892220  0.873016  2661.497077
66      0.119147   0.893822  0.874285  2651.222724
67      0.120949   0.895539  0.874339  2645.373814
68      0.122751   0.896461  0.877309  2634.129678
69      0.124553   0.897159  0.875285  2621.518410
70      0.126355   0.898205  0.876984  2612.494894
71      0.128157   0.899288  0.879630  2597.490300
72      0.129959   0.900424  0.882275  2588.712634
73      0.131762   0.901745  0.888721  2578.983657
74      0.133564   0.903708  0.886539  2571.060258
75      0.135366   0.904001  0.883598  2560.034553
76      0.137168   0.905511  0.887566  2549.124883
77      0.138970   0.905593  0.888889  2538.005065
78      0.140772   0.906384  0.888889  2527.156377
79      0.142574   0.908030  0.892857  2516.616133
80      0.144376   0.908946  0.896825  2505.352675
81      0.146178   0.909445  0.891534  2495.931178
82      0.147980   0.910475  0.888889  2488.104916
83      0.149782   0.910335  0.887566  2475.283467
84      0.151584   0.910959  0.891534  2466.875994
85      0.153386   0.911745  0.889976  2458.398498
86      0.155189   0.912972  0.893367  2448.098103
87      0.156991   0.913567  0.894180  2440.750801
88      0.158793   0.915186  0.898049  2427.738663
89      0.160595   0.915832  0.896825  2418.245008
90      0.162397   0.915522  0.897641  2406.652960
91      0.164199   0.915951  0.898740  2399.928843
92      0.166001   0.916281  0.901188  2389.513067
93      0.167803   0.917249  0.902116  2378.511054
94      0.169605   0.918243  0.900794  2368.938830
95      0.171407   0.918810  0.900451  2358.308999
96      0.173209   0.919696  0.900794  2350.332410
97      0.175011   0.919741  0.904826  2346.948256
98      0.176813   0.919628  0.902116  2340.466290
99      0.178616   0.920053  0.903614  2332.722337
